"Id","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"393","Medical",3804148,31201,"1985",1
"394","Technology",4189251,6052,"1980",1
"395","Technology",NA,2518,"1990",0
"396","Technology",17863553,45716,"1985",1
"397","Biology",694230,2379,"2000",1
"398","Biology",12046628,28751,"1985",1
"399","Biology",2078028,7200,"1985",1
"400","Biology",6795290,13712,"1990",1
"401","Medical",187636,4038,"1990",1
"402","Medical",NA,4338,"1990",1
"403","Biology",NA,3657,"2005",1
"404","Medical",NA,3623,"2000",0
"405","Technology",NA,279,"2010",1
"406","Biology",NA,385,"2010",1
"407","Medical",NA,650,"2010",1
"408","Medical",NA,2397,"1990",1
"409","Biology",2709669,2680,"2000",1
"410","Medical",NA,1520,"2000",0
"411","Biology",NA,1269,"1995",0
"412","Biology",NA,151,"2000",1
"413","Medical",920285,1345,"2010",1
"414","Biology",NA,1088,"2010",1
"415","Medical",NA,814,"2010",1
"416","Biology",NA,233,"2010",1
"417","Biology",1124239,950,"2000",0
"418","Medical",NA,259,"2010",0
"419","Biology",NA,1313,"2005",1
"420","Biology",NA,6641,"1985",1
"421","Biology",NA,701,"2000",1
"422","Medical",NA,2892,"1985",1
"423","Biology",NA,3124,"1985",1
"424","Medical",NA,579,"2000",1
"425","Medical",NA,1659,"1995",1
"426","Medical",NA,5899,"1995",1
"427","Biology",NA,373,"2005",0
"428","Medical",NA,219,"2000",1
"429","Biology",126420,11901,"2000",1
"430","Biology",NA,1429,"2005",1
"431","Medical",NA,2617,"1970",0
"432","Biology",462952,1131,"1995",1
"433","Medical",NA,895,"2000",0
"434","Biology",NA,2457,"2005",1
"435","Medical",NA,2791,"2010",1
"436","Biology",NA,661,"2005",0
"437","Technology",NA,1383,"2005",1
"438","Medical",NA,246,"2010",0
"439","Medical",NA,596,"2005",1
"440","Technology",NA,393,"2010",0
"441","Medical",3457159,1648,"1985",1
"442","Medical",NA,6507,"1990",1
"443","Medical",NA,660,"2010",1
"444","Medical",NA,1795,"2005",0
"445","Medical",NA,903,"2010",1
"446","Biology",NA,717,"2010",1
"447","Biology",NA,488,"2010",1
"448","Biology",NA,776,"2005",1
"449","Biology",NA,2120,"1990",1
"450","Medical",NA,2481,"1990",1
"451","Medical",NA,388,"2005",1
"452","Biology",NA,252,"2010",1
"453","Medical",NA,777,"2010",0
"454","Technology",NA,262,"2010",1
"455","Biology",NA,1187,"2000",1
"456","Medical",NA,1040,"2010",1
"457","Medical",499676,828,"2005",1
"458","Biology",463893,1855,"1995",1
"459","Biology",327423,187,"2010",0
"460","Medical",NA,678,"2010",1
"461","Technology",NA,1130,"2010",1
"462","Biology",NA,83,"2010",1
"463","Biology",NA,2291,"2000",1
"464","Medical",NA,675,"2010",1
"465","Biology",NA,450,"2010",0
"466","Biology",NA,1057,"2010",1
"467","Biology",NA,927,"2010",1
"468","Biology",NA,810,"2010",1
"469","Medical",NA,2656,"2000",0
"470","Medical",NA,7073,"1985",1
"471","Biology",332438,567,"2005",0
"472","Medical",NA,2112,"2000",1
"473","Technology",NA,112,"2010",1
"474","Biology",NA,2651,"2010",0
"475","Medical",NA,578,"2000",1
"476","Biology",NA,15904,"1980",1
"477","Medical",NA,1220,"2005",0
"478","Biology",NA,769,"2010",0
"479","Medical",5078015,793,"2010",0
"480","Medical",NA,483,"2010",1
"481","Biology",NA,399,"2010",1
"482","Biology",2855051,15843,"1990",1
"483","Technology",NA,4366,"1990",1
"484","Biology",1712434,8626,"1995",1
"485","Medical",NA,4560,"1990",1
"486","Biology",NA,1200,"1980",0
"487","Biology",370687,1300,"2010",1
"488","Technology",NA,546,"2010",1
"489","Medical",39727834,592,"2005",0
"490","Biology",3497928,4914,"2000",1
"491","Biology",NA,5089,"1990",1
"492","Medical",NA,7396,"1990",1
"493","Medical",NA,150,"2010",1
"494","Biology",NA,9425,"1975",1
"495","Biology",NA,626,"2005",1
"496","Biology",NA,243,"2010",0
"497","Medical",NA,675,"2005",1
"498","Medical",4999281,10254,"1985",1
"499","Medical",NA,757,"2010",1
"500","Biology",NA,255,"2005",1
"501","Medical",761101,159,"2005",0
"502","Technology",NA,421,"2000",0
"503","Medical",NA,953,"2000",1
"504","Technology",NA,7041,"1980",1
"505","Medical",NA,3351,"1980",1
"506","Medical",NA,23684,"1965",1
"507","Medical",NA,254,"2005",1
"508","Biology",NA,3914,"2010",1
"509","Biology",739555,4454,"1980",1
"510","Biology",NA,1376,"2010",0
"511","Medical",NA,382,"2005",1
"512","Biology",326863,3248,"1990",1
"513","Biology",NA,284,"2010",1
"514","Medical",4836897,2649,"2005",0
"515","Medical",NA,4538,"2005",1
"516","Biology",NA,578,"2005",0
"517","Technology",NA,149,"2010",0
"518","Biology",NA,565,"2010",0
"519","Medical",NA,984,"2010",1
"520","Technology",NA,2795,"2010",1
"521","Biology",NA,4389,"1995",1
"522","Medical",NA,1172,"2005",1
"523","Biology",NA,419,"2005",1
"524","Medical",NA,7446,"1980",1
"525","Biology",NA,1005,"2005",1
"526","Biology",NA,276,"2005",1
"527","Biology",507956,1227,"2005",1
"528","Medical",716008,701,"2010",0
"529","Medical",NA,259,"2010",1
"530","Medical",NA,3527,"1995",1
"531","Medical",NA,1139,"2000",1
"532","Biology",NA,623,"2005",1
"533","Medical",NA,5907,"1990",1
"534","Medical",NA,3519,"1985",1
"535","Medical",NA,1217,"2005",0
"536","Medical",NA,337,"2005",0
"537","Biology",NA,5593,"1985",1
"538","Biology",NA,3481,"1995",1
"539","Biology",NA,1551,"1985",1
"540","Medical",NA,3156,"1985",1
"541","Medical",NA,11951,"1980",1
"542","Medical",NA,6738,"1980",1
"543","Medical",NA,5809,"1995",1
"544","Medical",NA,12469,"1985",1
"545","Medical",NA,3825,"1990",1
