"Source","Target"
"69","2366"
"69","3071"
"70","2587"
"70","3112"
"70","3484"
"70","2384"
"70","2402"
"70","3275"
"70","1722"
"70","1917"
"71","2105"
"71","2319"
"71","51"
"71","2952"
"71","1475"
"71","1879"
"71","3436"
"71","686"
"71","2439"
"71","1758"
"71","2139"
"71","1859"
"71","2826"
"72","3016"
"72","2969"
"72","2253"
"72","2712"
"72","627"
"72","1768"
"72","1679"
"72","93"
"72","2313"
"72","720"
"72","1810"
"72","1221"
"73","1630"
"73","1481"
"73","1254"
"73","603"
"74","2890"
"74","2220"
"74","2884"
"74","3104"
"74","705"
"74","2166"
"74","2294"
"75","2639"
"75","2344"
"75","2997"
"75","611"
"75","2063"
"75","2191"
"75","2389"
"75","2872"
"75","2204"
"75","1942"
"75","3108"
"75","2222"
"75","1495"
"75","644"
"75","603"
"75","2364"
"75","2392"
"75","3290"
"75","1055"
"75","1277"
"75","1254"
"75","2647"
"75","2112"
"75","1937"
"75","410"
"75","2956"
"75","1022"
"75","1297"
"75","1320"
"75","3486"
"75","2420"
"75","628"
"75","1657"
"75","801"
"75","1960"
"75","2946"
"75","2952"
"75","2936"
"75","2402"
"75","2183"
"75","3259"
"75","2486"
"76","1801"
"76","908"
"77","1132"
"77","510"
"77","2997"
"77","611"
"77","2191"
"77","2063"
"77","644"
"77","123"
"77","2204"
"77","939"
"77","1942"
"77","3511"
"77","2235"
"77","2872"
"77","1900"
"77","708"
"78","1891"
"78","663"
"78","3339"
"78","1725"
"78","2786"
"78","2188"
"78","3181"
"78","41"
"78","3044"
"78","658"
"78","2780"
"78","3198"
"78","1253"
"78","2474"
"78","978"
"78","112"
"78","1485"
"78","511"
"78","3126"
"78","848"
"78","723"
"78","2812"
"78","1164"
"78","650"
"78","360"
"78","2639"
"78","276"
"78","2523"
"78","753"
"78","626"
"79","3391"
"79","789"
"79","3209"
"79","1563"
"79","2772"
"79","3201"
"79","465"
"79","1224"
"79","2417"
"79","2344"
"79","1183"
"79","1084"
"79","1451"
"79","239"
"79","2431"
"79","3424"
"79","2141"
"79","520"
"79","176"
"79","733"
"79","2998"
"80","95"
"80","2749"
"80","2902"
"80","2219"
"80","425"
"80","2911"
"80","3496"
"80","2710"
"80","3375"
"80","2952"
"80","1862"
"80","1150"
"80","3018"
"80","2946"
"80","2979"
"80","2339"
"80","1412"
"80","1892"
"80","1637"
"81","1582"
"81","1710"
"82","83"
"82","3302"
"82","299"
"82","1720"
"82","3354"
"82","2956"
"82","2268"
"82","472"
"82","834"
"83","82"
"83","299"
"83","3302"
"83","1720"
"83","3354"
"83","2268"
"83","472"
"83","834"
"83","817"
"83","828"
"83","3212"
"83","658"
"83","2801"
"84","733"
"84","3207"
"85","1206"
"85","2552"
"85","2023"
"85","1646"
"85","629"
"85","1066"
"85","1756"
"85","1889"
"85","2218"
"85","3479"
"85","3422"
"85","730"
"85","2604"
"85","3210"
"85","3338"
"85","1942"
"85","2659"
"85","1311"
"85","2443"
"85","2187"
"85","3182"
"86","2141"
"86","2088"
"86","358"
"86","336"
"86","1833"
"86","1561"
"86","1459"
"87","57"
"87","3391"
"87","1180"
"87","1528"
"87","301"
"87","2829"
"87","246"
"87","639"
"87","465"
"87","1891"
"87","2104"
"87","2624"
"87","137"
"87","252"
"87","317"
"87","2563"
"87","114"
"87","2496"
"87","3413"
"87","2155"
"87","2549"
"87","3381"
"87","882"
"87","1546"
"87","3463"
"87","3478"
"87","414"
"87","198"
"87","1926"
"87","3481"
"87","2242"
"88","1146"
"88","2170"
"88","2821"
"88","1171"
"88","3445"
"88","2902"
"88","2011"
"88","2103"
"88","2909"
"89","2771"
"89","3429"
"89","1485"
"89","723"
"89","2981"
"89","490"
"89","112"
"89","1035"
"89","1694"
"89","2408"
"89","397"
"89","2514"
"89","330"
"89","626"
"89","1698"
"89","2613"
"90","326"
"90","2082"
"90","909"
"90","1633"
"90","1477"
"90","1655"
"90","2461"
"91","109"
"91","114"
"91","637"
"91","2513"
"92","227"
"92","3011"
"92","36"
"92","47"
"92","1907"
"92","3203"
"92","1561"
"92","1506"
"92","3206"
"92","1942"
"92","336"
"92","1010"
"92","1125"
"92","2961"
"92","1694"
"92","221"
"92","2316"
"92","2224"
"92","305"
"92","2187"
"92","2161"
"92","2663"
"92","837"
"92","2963"
"92","1435"
"92","2957"
"92","1662"
"92","1631"
"92","1616"
"92","3078"
"93","41"
"93","2313"
"93","72"
"93","627"
"93","2761"
"93","671"
"93","1991"
"93","1963"
"93","619"
"93","2923"
"94","3223"
"94","3192"
"94","2865"
"94","3027"
"94","2872"
"94","1439"
"94","3131"
"95","80"
"95","2749"
"95","2902"
"95","2219"
"95","2946"
"95","2911"
"95","2622"
"95","1780"
"95","622"
"95","3035"
"95","864"
"95","2266"
"95","658"
"95","3339"
"95","2033"
"95","203"
"95","2952"
"95","2972"
"95","2953"
"96","1606"
"96","1767"
"96","592"
"96","3513"
"96","571"
"96","2748"
"96","262"
"96","1546"
"96","3490"
"96","2471"
"97","392"
"97","2492"
"97","433"
"98","1834"
"98","285"
"98","1207"
"98","2402"
"99","2957"
"99","297"
"100","3144"
"100","1350"
"101","2677"
"101","1596"
"101","1835"
"101","2442"
"101","3228"
"101","2694"
"101","2404"
"101","764"
"101","2067"
"101","1411"
"101","3464"
"101","1589"
"101","2940"
"101","819"
"101","2977"
"101","2573"
"101","329"
"101","3212"
"101","2861"
"101","822"
"101","2486"
"101","1085"
"101","2557"
"101","2122"
"101","2422"
"101","2657"
"101","1731"
"101","2903"
"101","3180"
"101","3277"
"101","758"
"101","2495"
"101","2420"
"101","2942"
"102","2483"
"103","465"
"103","137"
"103","1710"
"103","2818"
"103","3050"
"103","3422"
"103","2341"
"104","3476"
"104","1905"
"104","879"
"104","2286"
"104","2107"
"104","353"
"104","1974"
"104","772"
"104","1790"
"104","708"
"104","1902"
"104","1021"
"104","3050"
"105","18"
"105","2267"
"105","3412"
"105","2788"
"105","1485"
"105","2981"
"105","3331"
"105","1986"
"106","20"
"106","754"
"106","2244"
"106","3350"
"107","417"
"107","2610"
"107","2627"
"107","2288"
"107","427"
"107","2449"
"107","754"
"107","2887"
"107","2685"
"108","810"
"108","3222"
"108","3392"
"108","2339"
"109","269"
"109","999"
"109","2853"
"109","2028"
"109","2567"
"109","910"
"109","1366"
"109","91"
"109","746"
"109","1707"
"109","887"
"109","179"
"110","1774"
"110","13"
"110","23"
"110","1974"
"110","799"
"110","1607"
"110","1681"
"110","2363"
"110","2671"
"110","191"
"110","1576"
"110","1579"
"110","3129"
"110","2532"
"110","2081"
"110","353"
"110","2186"
"110","3294"
"110","3373"
"110","710"
"110","2499"
"110","2843"
"110","1743"
"110","2601"
"110","2782"
"110","485"
