Id,Label,timeset,dept_rank,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
236,,,36,Medical,NA,801,2005,1,0.00013
237,,,NA,Technology,246401,3633,2000,1,0.000331
238,,,312,Biology,60130784,16555,1980,1,0.00013
239,,,NA,Medical,NA,3225,2000,1,0.00013
240,,,46,Medical,170386,2528,2005,1,0.00013
241,,,13,Biology,936942,926,2000,1,0.00013
242,,,65,Medical,NA,1493,1995,1,0.00013
243,,,NA,Biology,NA,8486,1970,1,0.00013
244,,,36,Medical,NA,5537,1970,1,0.00013
245,,,13,Medical,NA,1257,2000,1,0.00013
246,,,NA,Medical,NA,29441,1985,1,0.001212
247,,,38,Medical,5273166,7344,1970,1,0.000409
248,,,NA,Biology,NA,2335,2005,1,0.00013
249,,,NA,Biology,NA,799,2005,1,0.00013
250,,,11,Biology,NA,1014,2005,1,0.00013
251,,,2,Biology,NA,974,2005,1,0.00013
252,,,8,Biology,494432,5637,2005,1,0.000554
253,,,16,Biology,NA,1496,2005,1,0.000599
254,,,NA,Biology,NA,33701,1985,1,0.00013
255,,,45,Biology,NA,2604,1995,1,0.00013
256,,,NA,Biology,NA,2141,1980,1,0.00013
257,,,NA,Biology,NA,1595,2005,0,0.000353
258,,,13,Medical,NA,800,2000,1,0.00013
259,,,NA,Biology,NA,2716,1995,1,0.00013
260,,,178,Biology,1444343,1087,2005,1,0.00013
261,,,NA,Medical,63508921,24328,1985,1,0.004127
262,,,NA,Medical,NA,48663,1970,1,0.00013
263,,,NA,Medical,12980,1752,2000,1,0.00013
264,,,7,Biology,NA,654,2005,1,0.00013
265,,,NA,Medical,237037,985,2005,1,0.00013
266,,,NA,Medical,NA,1567,2000,1,0.00013
267,,,NA,Biology,9948,2712,2005,1,0.00051
268,,,38,Biology,NA,49071,1980,1,0.000696
269,,,NA,Biology,NA,7169,2000,1,0.00013
270,,,3,Medical,488508,2395,2005,1,0.00013
271,,,NA,Medical,NA,2798,2005,1,0.00013
272,,,8,Medical,NA,33972,1985,1,0.00013
273,,,NA,Biology,NA,2413,2005,1,0.00013
274,,,NA,Biology,NA,2825,2005,1,0.00013
275,,,120,Biology,NA,3128,2000,1,0.00013
276,,,23,Biology,20091,774,2005,1,0.00013
277,,,NA,Biology,1545958,17767,1985,1,0.006099
278,,,78,Medical,NA,9894,1985,1,0.00013
279,,,NA,Biology,NA,968,2005,0,0.00013
280,,,NA,Biology,47573387,20683,1970,1,0.00013
281,,,NA,Medical,NA,1825,2005,1,0.00013
282,,,12,Medical,2802266,6822,1995,1,0.00013
283,,,NA,Biology,NA,361,2005,0,0.00013
284,,,1,Medical,NA,1976,2000,1,0.00013
285,,,43,Medical,NA,2116,2005,1,0.00013
