"Id","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"411","Medical",NA,787,"2005",1
"412","Biology",NA,361,"2005",0
"413","Medical",NA,2110,"2005",1
"414","Biology",NA,382,"2005",0
"415","Biology",NA,4839,"2005",1
"416","Biology",NA,996,"2000",1
"417","Biology",NA,606,"2005",1
"418","Medical",NA,1793,"2005",1
"419","Biology",NA,344,"2005",0
"420","Biology",NA,1190,"2005",0
"421","Biology",NA,424,"2005",0
"422","Biology",NA,333,"2005",1
"423","Medical",NA,788,"2005",1
"424","Medical",NA,542,"2005",1
"425","Biology",NA,346,"2005",1
"426","Medical",NA,2783,"2000",0
"427","Medical",NA,373,"2005",1
"428","Technology",NA,641,"2005",1
"429","Biology",NA,2318,"2005",1
"430","Biology",NA,882,"2005",1
"431","Biology",NA,1505,"2005",0
"432","Biology",NA,25501,"1985",1
"433","Biology",NA,1473,"2005",1
"434","Biology",NA,506,"2005",1
"435","Biology",NA,28780,"1990",1
"436","Biology",NA,1198,"2005",1
"437","Medical",NA,7137,"1985",1
"438","Medical",NA,756,"2005",1
"439","Biology",NA,2749,"2005",1
"440","Biology",NA,2934,"2005",1
"441","Medical",261761,1603,"2005",1
"442","Biology",NA,7100,"2005",1
"443","Biology",NA,2760,"2000",0
"444","Biology",NA,992,"2005",1
"445","Biology",NA,750,"2005",0
"446","Medical",NA,444,"2005",1
"447","Technology",NA,1237,"2005",1
"448","Biology",NA,663,"2005",1
"449","Biology",NA,743,"2005",1
"450","Medical",NA,1164,"2005",1
"451","Medical",NA,573,"2000",1
"452","Medical",NA,488,"2005",1
"453","Biology",NA,940,"2005",1
"454","Biology",NA,1653,"2005",1
"455","Biology",NA,8865,"1995",1
"456","Biology",18767061,22404,"1995",1
"457","Biology",865414,16640,"1990",0
"458","Medical",517580,43404,"1990",1
"459","Biology",NA,10700,"1985",1
"460","Biology",NA,11022,"1995",0
"461","Medical",NA,2691,"2000",1
"462","Medical",NA,7031,"1980",1
"463","Biology",NA,6266,"1995",1
"464","Biology",NA,4728,"2000",1
"465","Biology",NA,4897,"1985",1
"466","Biology",NA,7698,"1985",1
"467","Biology",NA,2097,"2000",1
"468","Biology",NA,17083,"1990",1
"469","Biology",NA,23967,"1980",1
"470","Biology",NA,21107,"1985",1
"471","Biology",NA,5406,"1975",1
"472","Medical",14724498,20080,"1980",1
"473","Medical",NA,1561,"1990",1
"474","Medical",NA,8889,"1985",1
"475","Biology",NA,16975,"1995",1
"476","Medical",NA,8556,"1985",1
"477","Biology",NA,4317,"1995",0
"478","Biology",NA,3426,"1990",1
"479","Biology",10971275,19478,"1985",1
